X,Y,Num,ID,DegrClass,Farm
23.9438958793989,-33.5605448013418,30,MV30,Moderate,Van der Wat
23.9440210757709,-33.5596041440707,31,MV31,Moderate,Van der Wat
23.9479995403388,-33.5583176060408,32,MV32,Moderate,Van der Wat
23.9359387315303,-33.5592956828144,33,MV33,Moderate,Van der Wat
23.9467297419417,-33.556052513464,34,MV34,Moderate,Van der Wat
23.9519143906702,-33.5537958519866,35,MV35,Moderate,Van der Wat
23.9478898917112,-33.5560897412483,36,MV36,Moderate,Van der Wat
23.9476183466286,-33.5579410921952,37,MV37,Moderate,Van der Wat
23.9456871217084,-33.5577371516857,38,MV38,Moderate,Van der Wat
23.9445694155173,-33.5607756018376,39,MV39,Moderate,Van der Wat
23.950880972652,-33.5561739175898,40,MV40,Moderate,Van der Wat
23.9504482766183,-33.5553667899337,41,MV41,Moderate,Van der Wat
23.9492337207441,-33.5567406403809,42,MV42,Moderate,Van der Wat
23.9508855176601,-33.554682356519,43,MV43,Moderate,Van der Wat
23.9520473682845,-33.5541793787888,44,MV44,Moderate,Van der Wat
23.9467199052309,-33.5584777523046,45,MV45,Moderate,Van der Wat
23.936231287943,-33.5612914923785,46,MV46,Moderate,Van der Wat
23.9342235974917,-33.5607780709755,47,MV47,Moderate,Van der Wat
23.9366803762677,-33.5571129727651,48,MV48,Moderate,Van der Wat
23.9498626287047,-33.5568278514081,49,MV49,Moderate,Van der Wat
23.9331720898637,-33.5607019218253,50,MV50,Moderate,Van der Wat
23.9379835215401,-33.5555274307683,1,PV1,Pristine,Van der Wat
23.9421715212949,-33.5536778716873,2,PV2,Pristine,Van der Wat
23.9354266179315,-33.556121113587,3,PV3,Pristine,Van der Wat
23.9425530561571,-33.5550066561815,4,PV4,Pristine,Van der Wat
23.9365133426843,-33.5604782793991,5,PV5,Pristine,Van der Wat
23.9411669860445,-33.5610537602267,6,PV6,Pristine,Van der Wat
23.945722765074,-33.5563033184521,7,PV7,Pristine,Van der Wat
23.9486966572866,-33.5519804710462,8,PV8,Pristine,Van der Wat
23.9478258841353,-33.551648488876,9,PV9,Pristine,Van der Wat
23.935315327986,-33.560260150659,10,PV10,Pristine,Van der Wat
23.9422643064242,-33.5617162991185,11,PV11,Pristine,Van der Wat
23.9408986718467,-33.5546544679337,12,PV12,Pristine,Van der Wat
23.9384105841558,-33.5551822437747,13,PV13,Pristine,Van der Wat
23.9454598857677,-33.5602271502395,14,PV14,Pristine,Van der Wat
23.9419136563133,-33.5535954751726,15,PV15,Pristine,Van der Wat
23.9459777202293,-33.5535494334957,16,PV16,Pristine,Van der Wat
23.941578351127,-33.5605826805848,17,PV17,Pristine,Van der Wat
23.939256762465,-33.5556158511105,18,PV18,Pristine,Van der Wat
23.9508764560114,-33.5536540580802,19,PV19,Pristine,Van der Wat
23.9372082461547,-33.5564600387995,20,PV20,Pristine,Van der Wat
23.9363807980665,-33.5590893050822,21,PV21,Pristine,Van der Wat
23.9382596395637,-33.5550185846835,22,PV22,Pristine,Van der Wat
23.9508398449531,-33.5533548153041,23,PV23,Pristine,Van der Wat
23.9384059623223,-33.5544225096286,24,PV24,Pristine,Van der Wat
23.949069297983,-33.5523071118929,25,PV25,Pristine,Van der Wat
23.936574576891,-33.5576768030667,26,PV26,Pristine,Van der Wat
23.9417538238835,-33.5607937594364,27,PV27,Pristine,Van der Wat
23.948164873472,-33.5545629531185,28,PV28,Pristine,Van der Wat
23.9462775118876,-33.5533743128884,29,PV29,Pristine,Van der Wat
23.9417230000985,-33.5547134101874,30,PV30,Pristine,Van der Wat
23.9424471487981,-33.5543553710931,31,PV31,Pristine,Van der Wat
23.9442807958044,-33.5569958892313,32,PV32,Pristine,Van der Wat
23.9419835091875,-33.5530548537154,33,PV33,Pristine,Van der Wat
23.9484628782818,-33.5515638054734,34,PV34,Pristine,Van der Wat
23.9449668851153,-33.5534335297929,35,PV35,Pristine,Van der Wat
23.9435483580023,-33.5535411576759,36,PV36,Pristine,Van der Wat
23.9442723516565,-33.5538144721946,37,PV37,Pristine,Van der Wat
23.9484320738168,-33.5542759831081,38,PV38,Pristine,Van der Wat
23.9485862774119,-33.5527248189309,39,PV39,Pristine,Van der Wat
23.9395605215446,-33.5537331092841,40,PV40,Pristine,Van der Wat
23.9445130077199,-33.5568630095492,41,PV41,Pristine,Van der Wat
23.9420184038727,-33.5598333142837,42,PV42,Pristine,Van der Wat
23.9373621502724,-33.5576850763358,43,PV43,Pristine,Van der Wat
23.9393411090531,-33.5539732619794,44,PV44,Pristine,Van der Wat
23.9423629437705,-33.5611467756518,45,PV45,Pristine,Van der Wat
23.9491751984006,-33.5541935749356,46,PV46,Pristine,Van der Wat
23.9362877515902,-33.5606805630616,47,PV47,Pristine,Van der Wat
23.9377018084663,-33.5563491385302,48,PV48,Pristine,Van der Wat
23.9497654519657,-33.5524674968482,49,PV49,Pristine,Van der Wat
23.9370820402602,-33.5591574829837,50,PV50,Pristine,Van der Wat
